Group,RPN,YRR,YRRS,PRR,NEWYRR,NEWPRR,WP,WPN,RWG,Round,RNO,Rest,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE
3,1,0,0,3.8,0,0.8,61.4,1.115591975,5,2,151,2,53,1,1,7,2,5,5,3,3,2,4,4,1,1,1
3,1,0,0,3.1,0,0.1,102.5,1.458117345,6,2,152,1,39,1,1,2,2,4,8,3,2,1,3,2,1,1,1
3,1,0,0,3.1,0,0.1,68,1.571428573,7,2,153,1,41,1,1,7,2,5,5,4,1,2,3,2,1,2,1
3,1,0,0,3.1,0,0.1,88,1.444444443,8,2,154,1,38,1,1,7,2,3,3,3,2,1,5,1,1,2,1
3,1,0,0,3.1,0,0.1,63.5,1.502081889,9,2,155,1,43,1,1,7,2,5,9,3,2,3,5,2,1,2,1
3,1,0,0,3.1,0,0.1,105.6,1.474061444,10,2,156,1,39,1,7,7,2,5,5,3,4,2,1,3,1,2,1
4,-1,0,0,4.6,0,1.6,166.6,4.49499358,1,2,157,2,64,0,1,7,2,2,3,3,2,2,5,2,1,2,1
4,-1,0,0,4.6,0,1.6,157.4,4.381908132,2,2,158,2,70,1,1,3,2,2,3,3,1,6,6,8,1,1,1
4,-1,0,0,4.6,0,1.6,175.8,4.49654838,3,2,159,2,68,0,1,3,2,2,4,4,2,1,3,3,1,2,1
4,-1,0,0,4.6,0,1.6,131.6,4.271905235,4,2,160,2,79,1,1,1,3,2,3,3,1,5,6,8,1,2,2
4,-1,0,0,4.6,0,1.6,140.35,4.340567384,5,2,161,2,79,0,1,7,3,2,3,3,2,5,6,8,1,2,1
4,-1,0,0,4.375,0,1.375,148.875,4.391248899,6,2,162,1,61,0,1,7,2,2,2,3,2,2,2,5,1,1,1
4,-1,0,0,4.375,0,1.375,148.425,4.162335869,7,2,163,1,66,1,1,7,2,2,2,3,2,5,6,8,1,1,1
4,-1,0,0,4.375,0,1.375,126.1,4.389228415,8,2,164,1,62,1,1,2,2,2,3,1,2,1,1,3,1,1,1
4,-1,0,0,4.375,0,1.375,166.825,4.455320032,9,2,165,1,69,1,1,2,2,2,3,3,1,1,2,2,1,1,1
4,-1,0,0,4.6,0,1.6,148.2,4.400581775,10,2,166,2,64,1,1,7,2,2,2,3,2,3,1,5,1,2,1
5,1,0,0,4.5,0,1.5,78.9,2.14395556,1,2,167,2,39,1,1,2,3,1,6,1,2,1,1,2,1,1,1
5,1,0,0,4.5,0,1.5,65.4,1.645448268,2,2,168,2,29,0,1,7,2,2,6,3,2,3,1,1,1,1,1
5,1,0,0,4.5,0,1.5,62.2,1.841268658,3,2,169,2,25,1,1,2,1,1,2,3,2,2,1,2,1,1,1
5,1,0,0,4.5,0,1.5,73.1,1.816643142,4,2,170,2,34,1,1,2,2,2,4,3,3,1,1,2,1,1,1
5,1,0,0,4.5,0,1.5,102,2.333333331,5,2,171,2,31,0,1,2,2,4,4,3,2,1,1,1,1,1,1
5,1,0,0,3.2,0,0.2,77,2.404163054,6,2,172,1,42,0,8,2,2,5,9,2,1,2,2,2,1,1,1
5,1,0,0,3.2,0,0.2,90.5,2.666746796,7,2,173,1,31,0,1,3,2,5,6,2,2,2,1,2,1,1,1
5,1,0,0,3.2,0,0.2,101.4,2.616199535,8,2,174,1,46,1,1,7,3,2,3,3,1,2,1,1,1,2,1
5,1,0,0,3.2,0,0.2,91.1,2.135444919,9,2,175,1,42,0,1,2,3,1,3,3,3,2,1,3,1,2,2
5,1,0,0,3.2,0,0.2,64.2,2.49971427,10,2,176,1,32,1,1,2,2,2,6,1,3,6,6,8,1,1,1
6,1,0,0,4.1,0,1.1,87.4,1.660624708,1,2,177,2,61,0,1,7,2,2,8,3,2,1,1,5,1,1,1
6,1,0,0,4.1,0,1.1,79.2,1.514143844,2,2,178,2,34,0,1,3,2,3,5,3,2,2,2,2,1,1,1
6,1,0,0,4.1,0,1.1,38.5,1.333945938,3,2,179,2,33,1,1,2,2,4,8,1,2,3,1,1,1,1,1
6,1,0,0,4.1,0,1.1,85.5,1.856395035,4,2,180,2,34,0,1,3,1,2,7,3,3,2,1,1,1,1,1
6,1,0,0,4.1,0,1.1,63.1,1.728571429,5,2,181,2,36,1,6,3,3,2,7,1,3,5,6,8,1,1,1
6,1,0,0,3,0,0,54.9,1.546120244,6,2,182,1,37,0,1,3,2,4,5,3,2,1,1,4,1,1,1
6,1,0,0,3,0,0,66.1,1.616930514,8,2,183,1,41,1,1,2,1,1,6,3,2,1,2,1,1,1,1
6,1,0,0,3,0,0,40.7,1.867524313,9,2,184,1,38,1,7,2,2,4,9,3,3,1,1,2,1,1,1
6,1,0,0,3,0,0,29.5,1.944543651,10,2,185,1,30,0,1,2,2,4,8,2,4,4,1,2,1,1,2
7,-1,0,0,2,0,-1,85.2,-0.453557366,1,2,186,2,24,1,5,4,2,2,1,3,4,2,1,1,2,1,1
7,-1,0,0,2,0,-1,33,-0.612372436,2,2,187,2,23,1,5,3,1,1,5,1,4,4,1,3,1,1,1
7,-1,0,0,2,0,-1,41,-1.106797181,3,2,188,2,24,0,5,3,1,1,2,1,3,3,3,2,1,1,1
7,-1,0,0,2,0,-1,41,-1.010362971,4,2,189,2,28,0,5,7,2,2,1,3,4,4,2,4,1,1,1
