Group,RPN,YRR,PRR,WP,RWG,Round,RNO,Rest,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE,WOR,OWU,PFOR,RPTF,CPR,NC,TASTES,FQS,HCS,AMBS,SERVICES,PRICES,LOCS,EOF,EOW,AVGSPEND,ALCN,FAVCUS,Restau,DistanceG,DistanceHM,Overall,FoodQual,Taste,Service,Location,Price,Ambiance,Variety,Healthy,Recfrd,Tip,Revisit
7,-1,1.2,0,0,2,1,51,1,23,1,5,3,1,1,5,1,4,4,1,3,1,1,1,1,14,244,1,1,2,5,5,5,5,5,4,3,1,1,2,1,2,1,3,3,5,3,3,2,3,3,3,2,2,3,2,3
7,-1,1.2,0,0,3,1,52,1,24,2,5,3,1,1,2,1,3,3,3,2,1,1,1,2,4,32,2,1,2,5,4,2,3,4,3,3,2,2,3,2,1,1,3,4,5,3,3,4,4,4,3,3,3,2,2,2
7,-1,1.2,0,0,4,1,53,1,28,2,5,7,2,2,1,3,4,4,2,4,1,1,1,1,8,2016,1,1,2,5,3,5,4,4,5,4,3,2,2,3,5,1,3,3,5,3,3,3,3,2,2,3,2,3,2,3
7,-1,1.2,0,0,5,1,54,1,28,1,5,4,1,0,1,2,4,3,1,2,2,2,1,2,128,822,2,1,2,4,5,3,4,3,5,2,4,1,2,1,3,1,3,3,3,4,3,3,3,3,3,4,3,4,2,3
7,-1,2.4,0,0,6,1,55,2,26,1,5,3,1,0,3,3,4,1,2,2,1,1,1,2,44,676,1,1,2,5,5,2,3,3,3,3,2,1,1,1,2,2,3,3,1,2,1,3,4,3,4,2,3,1,2,1
7,-1,2.4,0,0,7,1,56,2,24,1,5,3,1,1,1,3,4,3,1,7,1,1,1,1,12,1686,1,1,1,4,5,3,4,4,4,4,4,1,2,1,3,2,2,2,1,1,1,2,4,4,1,3,2,1,1,1
7,-1,2.4,0,0,8,1,57,2,23,1,5,2,1,1,2,2,3,4,1,4,1,1,1,2,4,1188,2,1,2,5,5,1,3,5,5,2,3,2,2,1,4,2,3,3,5,2,2,5,4,3,2,3,2,2,3,3
7,-1,2.4,0,0,9,1,58,2,21,2,1,2,1,1,2,3,3,2,1,4,1,1,1,2,8,4,2,1,1,3,4,5,2,4,4,2,3,2,2,2,2,2,4,4,3,3,3,5,4,2,2,4,2,4,3,4
7,-1,2.4,0,0,10,1,59,2,24,2,8,7,1,1,1,3,3,4,5,3,1,1,1,2,40,164,1,1,2,4,4,2,4,4,3,3,2,1,4,2,4,2,3,2,5,2,3,3,3,4,2,3,2,3,2,2
8,-1,1.2,0,0,1,1,60,1,54,1,1,2,2,2,9,4,4,1,5,1,1,1,1,2,128,164,2,1,1,5,4,3,5,5,2,2,2,2,3,3,4,1,1,2,2,3,3,2,2,3,1,3,2,2,3,3
8,-1,1.2,0,0,2,1,61,1,43,2,1,2,2,4,5,3,1,1,2,2,1,1,1,2,24,188,1,1,1,5,5,5,3,5,5,3,3,3,4,1,2,1,1,1,4,4,4,5,3,5,3,5,2,5,3,4
8,-1,1.2,0,0,3,1,62,1,44,1,1,2,2,4,5,3,2,2,5,1,1,1,1,1,8,164,1,1,2,4,4,3,4,4,4,3,4,2,2,2,1,1,1,1,2,2,2,4,4,2,3,2,2,2,2,3
8,-1,1.2,0,0,4,1,63,1,41,2,1,2,2,5,5,3,2,2,5,6,1,1,1,2,8,944,2,1,1,5,3,3,5,4,5,4,4,3,2,2,1,1,1,2,3,3,4,3,3,3,3,2,2,3,3,3
8,-1,1.2,0,0,5,1,64,1,66,1,1,3,3,1,6,4,2,1,5,1,1,1,1,1,12,1200,1,1,1,5,5,3,4,4,3,2,2,2,3,2,4,1,1,2,5,4,3,3,3,2,2,3,2,4,3,2
8,-1,2.2,0,0,6,1,65,2,42,2,1,2,2,5,6,1,2,1,3,6,1,1,1,2,8,28,2,1,1,4,5,3,3,4,4,3,4,2,1,2,1,2,1,3,5,3,3,2,5,3,3,2,2,4,2,2
8,-1,2.2,0,0,7,1,66,2,47,1,1,3,2,5,6,3,3,3,3,3,1,1,1,1,44,60,1,1,1,4,4,4,4,4,4,3,3,2,3,3,1,2,2,2,2,1,1,3,4,3,2,2,2,2,2,1
8,-1,2.2,0,0,8,1,67,2,36,2,1,7,2,4,4,3,4,1,1,3,1,1,1,2,12,900,1,1,1,5,5,5,3,5,4,4,4,3,1,2,5,2,1,2,5,3,3,4,4,3,3,3,2,2,3,2
8,-1,2.2,0,0,9,1,68,2,37,1,1,7,2,4,4,1,1,5,6,8,1,2,1,2,128,1,1,1,2,5,5,4,4,4,4,3,4,3,2,3,1,2,1,2,5,3,3,3,3,3,1,2,2,3,2,3
8,-1,2.2,0,0,10,1,69,2,37,2,1,3,2,4,9,4,2,1,5,3,1,2,1,2,26,1676,1,1,1,5,5,5,5,4,3,3,2,3,3,2,5,2,1,2,1,4,3,1,4,4,3,3,2,3,1,2
9,1,3.4,0,0,1,1,70,2,29,1,1,3,2,2,3,3,2,1,3,1,2,1,1,2,64,692,2,2,1,5,5,4,4,5,5,5,2,2,3,1,5,2,2,3,5,4,4,3,2,2,2,1,2,4,2,5
9,1,3.4,0,0,2,1,71,2,28,2,1,3,2,2,3,3,1,2,5,6,1,1,1,2,72,820,1,1,1,3,4,3,4,4,4,5,4,2,3,2,2,2,2,2,5,3,4,3,3,4,3,3,2,4,3,4
9,1,3.4,0,0,3,1,72,2,40,2,1,7,3,1,5,3,2,4,2,3,1,1,1,2,46,452,1,1,1,5,5,4,3,5,4,3,3,1,2,1,4,1,3,4,5,3,2,4,3,2,3,3,2,3,3,2
9,1,3.4,0,0,4,1,73,2,53,2,7,2,3,5,3,2,2,3,2,5,1,1,1,1,4,1982,1,1,1,5,5,5,5,5,3,4,3,3,2,2,5,2,4,3,5,2,2,4,4,3,3,2,2,3,1,2
9,1,3.4,0,0,5,1,74,2,30,1,6,3,1,1,1,3,2,3,1,1,1,1,1,1,46,164,1,1,2,5,5,3,4,5,3,3,3,3,2,2,4,2,3,3,3,3,3,4,4,4,3,3,2,3,3,1
9,1,4.4,0,0,6,1,75,1,27,2,1,4,2,2,3,1,3,4,1,2,1,1,1,2,46,60,1,1,1,4,4,3,3,3,5,5,3,1,2,2,5,1,4,3,2,2,2,3,1,4,1,4,2,2,3,1
9,1,4.4,0,0,7,1,76,1,26,1,9,2,2,2,3,3,2,1,5,2,1,2,1,2,128,670,1,1,1,3,3,1,4,5,4,4,3,1,3,4,1,1,3,3,5,2,2,4,2,4,2,3,2,2,4,2
9,1,4.4,0,0,8,1,77,1,27,1,1,7,1,1,2,1,1,1,1,1,1,1,1,1,128,4,1,1,1,4,4,1,4,4,3,3,3,1,3,6,2,1,2,2,5,2,2,3,2,3,3,3,2,2,3,2
9,1,4.4,0,0,9,1,78,1,35,1,1,7,2,2,4,2,1,2,6,8,1,1,1,1,14,164,1,1,1,5,5,4,4,5,3,3,3,2,2,3,4,1,4,3,2,2,2,4,3,3,2,3,2,1,3,1
9,1,4.4,0,0,10,1,79,1,34,2,1,2,2,2,4,2,2,6,6,8,1,1,1,1,6,1980,1,1,1,5,5,5,4,5,4,4,3,2,2,3,4,1,4,3,5,3,3,4,2,3,2,2,2,1,2,1
10,1,4.2,0,0,1,1,80,1,25,2,5,4,2,2,2,3,4,4,2,1,1,1,1,1,12,1980,1,1,2,5,5,5,4,4,3,4,3,2,2,2,3,1,1,2,3,4,3,2,4,5,4,4,3,4,2,3
10,1,4.2,0,0,2,1,81,1,,1,5,4,2,2,4,2,2,3,5,1,1,1,1,1,60,652,1,1,1,4,4,3,3,3,4,3,2,2,2,1,3,1,2,2,3,4,4,2,3,3,3,4,4,4,3,4
10,1,4.2,0,0,3,1,82,1,,2,5,3,2,2,4,1,3,2,5,1,1,1,1,2,40,168,1,1,1,5,5,3,3,4,3,3,2,2,2,1,3,1,1,2,5,3,3,2,3,3,3,3,2,3,3,3
10,1,4.2,0,0,9,1,83,1,28,2,5,3,2,3,3,3,4,3,3,1,1,1,1,1,12,1982,1,1,2,5,3,3,3,4,4,3,3,1,2,1,3,1,1,3,5,2,2,3,4,3,4,3,2,2,3,3
10,1,4.2,0,0,4,1,84,1,33,1,5,4,2,3,3,3,4,3,5,2,1,1,1,2,128,548,1,1,1,4,3,4,2,4,4,2,4,2,3,1,3,1,1,2,5,3,3,3,4,3,3,3,2,3,3,2
10,1,3.4,0,0,5,1,85,2,30,1,5,4,2,2,1,3,3,2,4,2,1,1,1,2,128,1204,1,1,2,5,3,1,2,4,4,2,3,2,2,2,3,2,1,2,3,4,4,4,3,2,3,3,2,4,3,4
10,1,3.4,0,0,6,1,86,2,25,1,5,3,1,1,1,3,4,4,4,2,1,1,1,2,8,96,1,1,2,5,5,3,5,5,5,5,2,1,1,1,3,2,5,4,3,4,3,3,3,3,5,4,4,4,3,4
10,1,3.4,0,0,7,1,87,2,24,1,5,3,1,1,1,3,3,1,1,3,1,1,2,1,44,252,1,1,2,4,4,3,3,5,2,2,3,1,2,2,3,2,3,4,3,4,4,5,4,2,4,3,2,4,2,3
10,1,3.4,0,0,8,1,88,2,24,2,5,3,1,1,1,3,4,1,1,3,1,1,1,2,44,228,2,1,2,3,4,3,2,3,3,3,3,1,2,2,3,2,3,3,2,3,2,4,3,3,4,4,2,3,2,3
10,1,3.4,0,0,10,1,89,2,2,1,5,3,1,1,2,4,4,3,3,4,1,2,1,1,8,4,1,1,1,4,4,4,4,4,5,4,4,1,1,2,3,2,3,3,4,5,5,5,5,5,5,5,5,5,2,5
11,-1,1.4,0,0,1,1,90,1,29,1,1,3,2,5,3,3,2,5,6,8,1,1,1,2,8,1726,1,1,1,5,4,3,3,5,4,4,3,2,2,1,1,1,5,5,3,4,3,5,3,4,3,3,3,3,4,4
11,-1,1.4,0,0,2,1,91,1,26,2,1,7,2,5,3,3,2,3,1,2,1,1,1,2,8,2044,1,1,1,5,5,4,3,3,5,4,3,2,2,1,2,1,5,5,3,5,3,5,4,4,4,4,3,4,4,4
11,-1,1.4,0,0,3,1,92,1,25,2,1,7,2,5,3,3,3,1,2,2,1,2,2,2,32,144,2,1,1,5,5,3,1,5,5,3,3,3,2,1,4,1,5,5,3,4,4,4,2,3,4,2,2,4,2,4
11,-1,1.4,0,0,4,1,93,1,28,1,1,2,2,5,3,4,3,2,1,1,1,1,1,1,24,1180,1,1,1,5,5,2,4,4,3,2,2,2,2,1,4,1,5,5,3,4,3,4,3,3,4,5,2,4,3,4
11,-1,1.4,0,0,5,1,94,1,37,1,1,4,2,5,6,2,3,2,1,2,1,1,1,2,14,252,1,1,1,5,5,3,4,4,3,3,3,2,3,1,5,1,4,4,1,1,1,2,3,2,1,4,2,1,1,1
11,-1,2.4,0,0,6,1,95,2,36,2,1,7,2,5,5,3,3,3,2,1,1,1,1,2,42,2046,2,1,2,5,4,3,3,3,3,3,4,2,2,1,1,2,4,5,3,3,4,4,5,4,3,3,3,3,2,3
11,-1,2.4,0,0,7,1,96,2,42,1,1,7,2,7,4,1,2,6,6,8,1,2,1,2,64,128,1,1,2,4,4,2,3,4,2,3,3,2,2,1,5,2,4,4,5,3,4,3,3,2,2,3,2,4,3,3
11,-1,2.4,0,0,8,1,97,2,35,2,1,2,2,7,4,3,2,1,2,4,2,1,1,2,128,172,2,1,1,5,5,3,3,3,4,4,4,2,2,1,4,2,4,4,5,3,3,3,4,4,3,3,2,2,2,2
11,-1,2.4,0,0,9,1,98,2,42,1,1,3,2,6,6,1,4,1,1,7,1,2,1,1,128,1152,1,1,1,5,4,3,5,5,5,3,2,2,2,1,2,2,5,5,5,2,2,4,4,1,3,5,2,2,3,1
11,-1,2.4,0,0,10,1,99,2,39,2,1,7,2,6,6,4,3,2,5,3,1,2,2,2,128,132,1,1,1,4,3,3,5,5,5,4,2,3,1,1,2,2,4,4,5,3,2,3,2,4,1,3,2,3,3,3
0,0,0,0,0,1,1,100,1,44,2,1,7,1,3,2,3,4,3,1,1,1,1,1,1,44,672,1,1,1,5,5,4,4,4,4,3,3,1,2,2,2,1,1,2,3,4,4,5,4,4,3,3,3,4,2,4
0,0,0,0,0,2,1,101,1,39,1,1,2,3,3,4,3,4,4,1,1,1,1,1,2,76,1588,1,1,1,3,3,3,3,3,3,3,2,2,1,2,2,1,1,2,5,4,3,4,1,2,3,4,1,3,3,3
0,0,0,0,0,4,1,102,1,44,2,1,7,2,5,3,5,2,2,1,2,1,1,1,2,8,644,1,2,1,4,3,2,3,4,4,3,4,3,2,1,3,1,2,2,4,5,5,5,2,4,5,5,3,5,3,4
0,0,0,0,0,5,1,103,1,42,2,1,7,2,4,4,1,3,2,1,1,1,2,1,1,60,1204,1,1,1,5,5,2,5,5,4,3,4,3,2,2,2,1,1,1,5,5,5,2,5,5,5,5,2,5,3,5
0,0,0,0,0,6,1,104,1,20,2,9,7,1,4,1,1,3,2,1,2,1,1,1,2,32,1854,1,1,2,5,5,3,3,5,5,3,3,3,5,2,3,1,2,2,5,4,3,3,4,2,4,4,3,4,2,3
0,0,0,0,0,8,1,105,1,27,2,1,5,2,2,4,2,3,1,1,6,1,1,1,1,14,1184,1,1,1,3,3,3,3,4,4,3,3,2,2,2,4,1,2,3,3,4,4,4,4,3,4,3,2,4,3,4
0,0,0,0,0,9,1,106,1,29,2,5,3,2,2,1,3,4,1,1,1,2,1,1,2,12,316,1,1,1,5,5,4,4,5,5,3,4,2,2,2,4,1,4,4,3,4,5,3,2,4,4,3,2,4,1,5
0,0,0,0,0,10,1,107,1,22,2,1,2,2,2,2,3,4,1,1,4,1,1,1,2,12,948,1,1,1,5,4,4,3,5,4,2,3,2,1,1,4,1,4,2,2,2,2,2,3,5,3,3,2,1,1,1
0,0,0,0,0,11,1,108,1,23,1,1,2,2,2,2,3,4,6,6,8,1,1,1,1,72,1068,1,1,1,5,5,5,4,4,3,3,3,1,1,1,5,1,4,3,1,1,1,1,2,3,2,4,2,1,3,1
0,0,0,0,0,12,1,109,2,33,2,1,2,2,4,4,3,3,1,1,1,1,1,1,2,24,156,1,1,1,4,3,4,3,4,4,4,3,3,2,2,5,2,2,2,5,3,3,2,5,4,4,4,2,2,2,2
0,0,0,0,0,13,1,110,2,53,2,1,6,2,3,2,5,2,2,3,4,2,2,2,2,128,24,2,2,2,3,4,3,3,3,3,3,4,5,1,1,4,2,2,4,2,3,3,2,2,2,2,3,3,2,1,1
