Group,RPN,YRR,POS,NEG,Posnew,Posnew1,Negnew,Negnew1,RWG,Rest,Overall,FoodQual,Taste,Service,Location,Price,Ambiance,Variety,Healthy,Recfrd,Tip,Revisit,Age,Gender,Ethinic,Edu,Marital,Depend,Income,RD,OT,SNWS,FBLTS,FBAT,RECR,UOR,NRE
10,1,4.2,4.2,0,1.7,1.2,0,0,4,1,4,3,3,3,4,3,3,3,2,2,3,1,33,1,5,4,2,3,3,3,4,3,5,2,1,1,1
10,1,3.4,3.4,0,0.9,0.4,0,0,5,2,2,4,4,4,3,2,3,3,2,3,3,3,30,1,5,4,2,2,1,3,3,2,4,2,1,1,1
10,1,3.4,3.4,0,0.9,0.4,0,0,6,2,2,4,3,3,3,3,5,4,4,3,3,3,25,1,5,3,1,1,1,3,4,4,4,2,1,1,1
10,1,3.4,3.4,0,0.9,0.4,0,0,7,2,2,4,4,5,4,2,4,3,2,3,2,2,24,1,5,3,1,1,1,3,3,1,1,3,1,1,2
10,1,3.4,3.4,0,0.9,0.4,0,0,8,2,1,3,2,4,3,3,4,4,2,2,2,2,24,0,5,3,1,1,1,3,4,1,1,3,1,1,1
10,1,3.4,3.4,0,0.9,0.4,0,0,10,2,3,5,5,5,5,5,5,5,5,4,2,4,25,1,5,3,1,1,2,4,4,3,3,4,1,2,1
11,-1,1.4,0,1.4,0,0,-1.4,-1.6,1,1,2,4,3,5,3,4,3,3,3,2,4,3,29,1,1,3,2,5,3,3,2,5,6,8,1,1,1
11,-1,1.4,0,1.4,0,0,-1.4,-1.6,2,1,2,5,3,5,4,4,4,4,3,3,4,3,26,0,1,7,2,5,3,3,2,3,1,2,1,1,1
11,-1,1.4,0,1.4,0,0,-1.4,-1.6,3,1,2,4,4,4,2,3,4,2,2,3,2,3,25,0,1,7,2,5,3,3,3,1,2,2,1,2,2
11,-1,1.4,0,1.4,0,0,-1.4,-1.6,4,1,2,4,3,4,3,3,4,5,2,3,3,3,28,1,1,2,2,5,3,4,3,2,1,1,1,1,1
11,-1,1.4,0,1.4,0,0,-1.4,-1.6,5,1,0,1,1,2,3,2,1,4,2,0,1,0,37,1,1,4,2,5,6,2,3,2,1,2,1,1,1
11,-1,2.4,0,2.4,0,0,-2.4,-0.6,6,2,2,3,4,4,5,4,3,3,3,2,2,2,36,0,1,7,2,5,5,3,3,3,2,1,1,1,1
11,-1,2.4,0,2.4,0,0,-2.4,-0.6,7,2,4,3,4,3,3,2,2,3,2,3,3,2,42,1,1,7,2,7,4,1,2,6,6,8,1,2,1
11,-1,2.4,0,2.4,0,0,-2.4,-0.6,8,2,4,3,3,3,4,4,3,3,2,1,2,1,35,0,1,2,2,7,4,3,2,1,2,4,2,1,1
11,-1,2.4,0,2.4,0,0,-2.4,-0.6,9,2,4,2,2,4,4,1,3,5,2,1,3,0,42,1,1,3,2,6,6,1,4,1,1,7,1,2,1
11,-1,2.4,0,2.4,0,0,-2.4,-0.6,10,2,4,3,2,3,2,4,1,3,2,2,3,2,39,0,1,7,2,6,6,4,3,2,5,3,1,2,2
0,0,0,0,0,0,0,0,0,1,1,2,4,4,5,4,4,3,3,3,3,2,3,44,0,1,7,1,3,2,3,4,3,1,1,1,1,1
0,0,0,0,0,0,0,0,0,2,1,4,4,3,4,1,2,3,4,1,2,3,2,39,1,1,2,3,3,4,3,4,4,1,1,1,1,1
0,0,0,0,0,0,0,0,0,4,1,3,5,5,5,2,4,5,5,3,4,3,3,44,0,1,7,2,5,3,5,2,2,1,2,1,1,1
0,0,0,0,0,0,0,0,0,5,1,4,5,5,2,5,5,5,5,2,4,3,4,42,0,1,7,2,4,4,1,3,2,1,1,1,2,1
0,0,0,0,0,0,0,0,0,6,1,4,4,3,3,4,2,4,4,3,3,2,2,20,0,9,7,1,4,1,1,3,2,1,2,1,1,1
0,0,0,0,0,0,0,0,0,8,1,2,4,4,4,4,3,4,3,2,3,3,3,27,0,1,5,2,2,4,2,3,1,1,6,1,1,1
0,0,0,0,0,0,0,0,0,9,1,2,4,5,3,2,4,4,3,2,3,1,4,29,0,5,3,2,2,1,3,4,1,1,1,2,1,1
0,0,0,0,0,0,0,0,0,10,1,1,2,2,2,3,5,3,3,2,0,1,0,22,0,1,2,2,2,2,3,4,1,1,4,1,1,1
0,0,0,0,0,0,0,0,0,11,1,0,1,1,1,2,3,2,4,2,0,3,0,23,1,1,2,2,2,2,3,4,6,6,8,1,1,1
0,0,0,0,0,0,0,0,0,12,2,4,3,3,2,5,4,4,4,2,1,2,1,33,0,1,2,2,4,4,3,3,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,13,2,1,3,3,2,2,2,2,3,3,1,1,0,53,0,1,6,2,3,2,5,2,2,3,4,2,2,2
0,0,0,0,0,0,0,0,0,14,2,3,5,5,4,3,4,5,3,2,3,2,3,22,0,1,2,1,1,1,3,3,1,1,7,1,1,1
0,0,0,0,0,0,0,0,0,15,2,4,3,3,4,4,3,2,2,2,3,3,2,34,1,1,7,2,4,4,3,3,4,2,2,1,1,1
0,0,0,0,0,0,0,0,0,16,2,1,3,4,1,4,3,2,2,2,1,1,0,21,0,6,2,1,2,2,2,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,17,2,3,4,5,5,5,5,5,3,2,4,4,4,30,1,1,2,2,4,8,1,3,3,2,2,1,1,1
0,0,0,0,0,0,0,0,0,18,2,2,4,3,4,4,4,3,3,3,2,2,3,47,0,1,2,2,5,4,3,1,1,3,3,1,1,1
0,0,0,0,0,0,0,0,0,19,2,1,2,2,3,4,4,2,3,2,1,3,1,27,0,1,2,1,2,3,2,3,2,1,2,1,1,1
0,0,0,0,0,0,0,0,0,20,2,4,3,4,3,3,4,3,4,2,2,3,1,29,0,1,2,2,4,3,3,3,1,2,2,1,1,1
0,0,0,0,0,0,0,0,0,23,2,4,3,3,4,3,3,2,3,2,2,3,2,30,1,8,2,1,2,4,2,3,1,2,4,1,1,1
0,0,0,0,0,0,0,0,0,24,2,0,1,1,1,3,5,2,3,2,1,3,1,23,1,1,1,1,0,3,3,2,2,1,1,1,1,2
0,0,0,0,0,0,0,0,0,25,2,4,3,3,4,5,3,2,3,2,1,3,1,49,1,1,7,2,5,5,3,2,2,3,1,1,1,1
0,0,0,0,0,0,0,0,0,26,2,2,4,4,4,4,3,3,3,2,3,3,2,41,0,1,2,2,5,4,1,4,1,5,3,1,1,2
0,0,0,0,0,0,0,0,0,27,2,3,4,4,5,4,5,4,5,3,4,4,4,27,0,1,2,1,2,2,2,4,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,29,1,4,4,3,4,2,4,3,3,2,3,1,1,40,0,5,6,2,3,2,4,4,2,4,6,1,1,1
0,0,0,0,0,0,0,0,0,31,1,4,3,3,2,2,3,3,3,3,2,2,2,49,0,1,7,2,6,7,4,4,4,1,7,1,1,1
0,0,0,0,0,0,0,0,0,32,1,3,5,4,5,5,3,4,3,3,3,2,3,34,0,5,3,2,3,4,3,4,2,3,2,1,1,1
0,0,0,0,0,0,0,0,0,33,1,2,4,4,4,3,3,5,4,3,3,2,2,40,1,5,3,2,3,3,2,4,2,4,2,1,1,1
0,0,0,0,0,0,0,0,0,34,1,2,3,4,4,3,3,3,2,3,2,2,2,30,1,9,3,1,1,3,3,3,2,1,2,1,1,1
0,0,0,0,0,0,0,0,0,35,1,1,1,1,4,1,3,3,1,2,0,2,0,26,1,9,3,1,1,3,3,4,2,1,1,1,2,1
0,0,0,0,0,0,0,0,0,36,1,4,3,3,3,3,3,2,3,3,3,3,3,54,0,1,1,2,2,9,1,1,1,5,4,1,1,1
0,0,0,0,0,0,0,0,0,37,1,3,5,5,5,2,3,4,3,2,3,4,3,35,0,1,4,1,5,3,2,2,2,4,2,1,1,1
0,0,0,0,0,0,0,0,0,38,2,2,3,4,3,5,4,5,2,2,3,3,3,24,1,9,3,1,1,2,3,4,3,1,2,1,1,1
0,0,0,0,0,0,0,0,0,39,2,2,4,4,5,5,5,3,3,2,3,4,3,43,0,1,7,2,5,3,3,1,1,2,1,1,1,1
0,0,0,0,0,0,0,0,0,40,2,2,4,4,4,5,5,5,3,1,4,4,4,45,1,1,7,2,5,3,3,1,1,5,1,2,2,2
0,0,0,0,0,0,0,0,0,41,2,2,4,4,4,4,3,4,4,2,3,2,3,67,1,1,7,3,1,2,3,3,6,6,8,1,1,1
0,0,0,0,0,0,0,0,0,42,1,2,3,3,4,4,3,3,4,1,2,3,1,43,0,1,7,3,5,3,3,1,2,3,3,1,2,2
0,0,0,0,0,0,0,0,0,43,2,3,4,4,5,4,4,5,5,2,4,2,4,37,0,2,1,2,4,2,3,4,2,1,5,1,1,1
